Country,Year,PM2.5,PM10,TotalDeaths,PMDeaths,CitiesCount
Albania,2015,21.79,32.415,42.299772755674304,21.78608861129629,2
Argentina,2015,10.26,27.87,33.08692384629538,29.159094224989484,1
Australia,2015,7.07842105263158,17.774736842105263,11.27679379229225,10.702071746128466,19
Austria,2015,13.6445,18.8565,18.85776731859494,16.74104005550154,20
Belgium,2015,12.621702127659574,20.483191489361705,20.47646878669515,18.359439585117325,47
Brazil,2015,12.635,39.945,31.51608976332567,23.4451488834162,10
Bulgaria,2015,25.775,38.055,53.667068442388114,40.97743569868924,4
Canada,2015,6.822380952380952,12.979523809523808,12.217926497625726,10.609096875802283,21
Chile,2015,27.145625,55.9546875,24.84461527443071,20.96583497343749,32
Colombia,2015,27.3375,55.3375,23.238309577371385,17.091480018875185,4
Croatia,2015,12.70142857142857,19.325714285714287,37.53962033602016,29.94664164389749,7
Cyprus,2015,14.76,34.403333333333336,27.60860769544438,25.01751325258554,3
Czechia,2015,17.946666666666665,24.43185185185185,32.41577614263114,29.577596730308297,27
Denmark,2015,11.256666666666666,20.666666666666668,19.891194178420136,17.381600857521246,3
Ecuador,2015,17.27,37.35,28.041828651523147,23.95176444519404,1
Estonia,2015,6.592499999999999,12.335,16.53077524854442,11.638833254044748,4
Finland,2015,5.755384615384615,13.15846153846154,8.69069077668554,7.840072315633548,13
France,2015,12.784234234234232,20.241261261261265,12.83499259035394,11.76378539500493,111
Georgia,2015,24.5,47.5,69.46115289261455,35.91634217893515,1
Germany,2015,12.713606557377048,19.21704918032787,20.47622376669419,18.227343803385192,122
Greece,2015,18.845,38.635000000000005,26.90073306027663,24.46883344146504,2
Iceland,2015,6.43,9.5225,10.742414880948346,9.169528211710531,4
Ireland,2015,6.945,12.54,15.683316610073762,14.197104764829442,2
Israel,2015,25.3,58.605714285714285,22.84496127665537,20.923210734282065,7
Italy,2015,18.597619047619048,27.36053571428572,18.545884601295544,16.636577874145974,168
Latvia,2015,16.195,22.645,35.63911796219938,30.66069937011656,4
Lebanon,2015,15.0,43.0,50.708917304037215,48.38150409767855,1
Lithuania,2015,12.48,25.506666666666664,34.738008760660385,32.890370223967935,6
Luxembourg,2015,11.583333333333334,20.37333333333333,17.058514959679762,14.874443707351537,3
Malta,2015,12.88,28.9,23.49562395794774,21.805218282253136,2
Mexico,2015,23.894615384615385,41.48461538461538,45.134731459213725,30.37690362032704,13
Netherlands,2015,12.5436,20.2772,19.29096156859232,17.25142180277427,25
New Zealand,2015,7.800909090909091,16.667272727272728,9.376395319558684,9.04056283944598,11
Norway,2015,6.521875,14.9175,11.474984816579193,9.710341287658634,16
Peru,2015,27.425,59.595,32.108003801286095,18.597685119013008,6
Poland,2015,23.348840579710146,31.781304347826087,37.178234325753095,32.08666134059083,69
Portugal,2015,9.849285714285717,20.016428571428573,16.128803846113826,13.450859902749423,14
Romania,2015,19.17,34.14000000000001,42.257671872218246,30.65392844122169,3
Slovakia,2015,19.3575,26.8625,38.51551686307555,35.39315245181512,4
Slovenia,2015,17.643333333333334,22.78333333333333,20.81567124765231,17.73689150517233,3
South Africa,2015,17.740000000000002,37.55857142857143,65.6569820093827,48.54142418716739,7
Spain,2015,9.411341463414637,19.994878048780485,15.97984597308629,12.941654472684991,82
Sweden,2015,6.123076923076923,14.12,9.85002662300768,8.47778460386595,13
Switzerland,2015,11.447333333333336,17.139333333333333,12.91571029469802,11.14980039001042,15
Thailand,2015,27.87,40.68,33.32841118605353,24.86486705349657,1
United Kingdom,2015,9.71102564102564,15.436153846153848,18.243927244783624,16.50907916972725,39
